1.5	3.28	0.3	4.58	0.86	13.21	2.14
2	3.87	0.55	6.15	0.9	22.32	5.15
4	3.25	0.39	6.99	1.07	14.98	1.55
5	3.13	0.29	4.2	0.58	12.36	4.76
13	4.75	0.19	8.31	0.85	73.37	6.32
125	4.92	0.13	6.29	0.31	37.99	10.08
130	3.38	0.3	5.17	0.36	15.41	5.16
150	4.39	0.07	5.05	0.22	24.3	5.27
220	3.68	0.14	4.64	0.83	27.02	6.78
550	2.95	0.05	3.26	0.06	3.75	0.13
580	2.73	0.05	2.85	0.02	2.92	0.75
625	2.44	0.03	2.62	0.06	2.91	0.1
1000	2.27	0.04	2.36	0.01	2.45	0.05
4500	1	0.001	1	0.001	1	0.001
